timestamp,source,temp_c,humidity,pressure_hpa,gas_ohm,iaq_score,accel_x,accel_y,accel_z,accel_magnitude,quake_triggered,quake_ratio,sound_rms,sound_db
1789402522.9463358,local,21.413,48.644,1014.751,49455.468,,0.005,0.007,1.015,0.015,0,1.000,184.866,45.337
1789402522.9464617,local,21.580,45.041,1011.664,50383.873,,0.010,-0.003,1.006,0.006,0,0.520,163.924,44.293
1789402522.9465387,local,21.498,44.783,1014.992,49450.871,,0.013,0.011,0.991,-0.009,0,0.590,164.371,44.317
1789402522.9465995,local,21.445,46.361,1014.415,50642.876,,-0.004,-0.007,1.008,0.008,0,0.570,169.641,44.591
1789402522.946658,local,21.604,41.320,1011.671,50128.529,,-0.008,0.008,0.992,-0.008,0,0.590,162.686,44.227
1789402522.9467223,local,21.626,40.621,1014.664,49775.873,,0.019,-0.000,1.020,0.020,0,1.280,175.312,44.876
1789402522.9467788,local,21.367,47.033,1012.821,50641.955,,-0.020,-0.005,0.986,-0.014,0,0.990,159.164,44.037
1789402522.9468336,local,21.385,44.414,1013.285,50024.460,,0.006,-0.017,1.011,0.011,0,0.810,168.067,44.510
1789402522.9468932,local,21.441,43.957,1013.509,50011.416,,-0.003,0.009,0.984,-0.016,0,1.090,156.322,43.880
1789402522.9469519,local,21.543,41.870,1014.151,50071.238,,0.008,0.011,0.998,-0.002,0,0.270,172.529,44.737
1789402522.9470146,local,21.354,49.032,1013.423,50547.345,96.200,-0.011,-0.002,0.984,-0.016,0,1.050,173.259,44.774
1789402522.9470768,local,21.578,40.843,1012.434,50556.915,99.600,0.019,-0.018,1.012,0.013,0,0.920,170.568,44.638
1789402522.9471385,local,21.485,45.490,1013.871,50026.834,97.200,-0.010,0.020,1.003,0.004,0,0.350,171.635,44.692
1789402522.9471996,local,21.479,45.705,1011.389,50988.080,97.600,-0.002,0.001,0.985,-0.015,0,1.010,173.164,44.769
1789402522.947259,local,21.545,49.223,1014.662,49550.653,94.900,-0.007,0.001,1.011,0.011,0,0.850,190.000,45.575
1789402522.947319,local,21.554,47.047,1013.173,50416.133,97.100,-0.008,-0.003,1.000,-0.000,0,0.130,172.943,44.758
1789402522.9473753,local,21.353,43.411,1012.794,50709.489,98.600,-0.008,0.019,1.002,0.002,0,0.140,142.753,43.092
1789402522.947432,local,21.575,41.800,1013.938,49519.895,98.000,0.002,0.019,0.989,-0.011,0,0.770,176.377,44.929
1789402522.9474893,local,21.406,49.056,1013.239,49630.464,95.100,-0.009,-0.004,0.991,-0.009,0,0.710,179.457,45.079
1789402522.9475467,local,21.675,43.254,1012.220,49924.569,98.000,-0.010,-0.011,1.009,0.009,0,0.720,180.290,45.119
1789402522.9476051,local,21.627,45.593,1014.533,50927.638,97.700,-0.017,0.008,0.984,-0.016,0,1.210,145.413,43.252
1789402522.9476793,local,21.481,40.590,1011.081,49413.923,98.300,0.003,-0.009,0.987,-0.013,0,1.070,161.540,44.166
1789402522.9477353,local,21.427,45.647,1012.336,50383.480,97.600,-0.004,0.014,0.999,-0.001,0,0.220,167.321,44.471
1789402522.9477901,local,21.600,48.744,1011.311,50462.223,96.400,0.019,-0.006,1.008,0.008,0,0.600,168.376,44.526
1789402522.947862,local,21.511,41.450,1011.272,50969.906,99.400,0.013,-0.002,1.009,0.009,0,0.750,149.308,43.482
1789402522.9479234,local,21.455,46.954,1014.464,49782.965,96.200,-0.018,0.005,0.999,-0.001,0,0.200,178.608,45.038
1789402522.94798,local,21.584,41.093,1013.464,50598.705,99.500,0.009,0.009,0.999,-0.001,0,0.120,181.815,45.193
1789402522.94804,local,21.384,47.219,1011.009,49208.694,95.300,0.010,-0.008,1.003,0.003,0,0.280,165.970,44.401
1789402522.9481,local,21.601,40.686,1014.399,50247.922,99.500,0.000,0.000,0.987,-0.013,0,1.010,162.230,44.203
1789402522.9481597,local,21.336,45.613,1014.942,50825.051,97.700,0.010,0.013,0.982,-0.017,0,1.460,2244.936,67.024
1789402522.9482188,local,21.644,48.038,1014.438,50595.879,96.700,-0.002,-0.012,0.981,-0.019,0,1.640,2114.456,66.504
1789402522.948273,local,21.361,40.592,1014.272,48948.542,97.600,-0.001,-0.006,0.998,-0.002,0,0.410,2262.227,67.091
1789402522.948328,local,21.653,48.878,1014.473,49548.048,95.100,0.012,-0.003,1.002,0.002,0,0.220,2255.200,67.064
1789402522.9483812,local,21.565,44.253,1012.888,49000.072,96.200,0.003,-0.010,1.016,0.016,0,1.280,2182.087,66.777
1789402522.9484355,local,21.574,40.596,1014.751,48782.222,97.400,0.012,0.003,0.995,-0.005,0,0.560,2368.816,67.491
1789402522.948492,local,21.549,48.768,1011.542,48934.666,94.200,-0.011,0.010,1.004,0.004,0,0.400,2180.312,66.770
1789402522.948547,local,21.596,47.183,1011.512,47872.862,93.300,0.010,0.016,1.018,0.018,0,1.490,2401.790,67.611
1789402522.9485998,local,21.560,47.236,1011.041,48088.518,93.600,0.004,-0.018,1.012,0.012,0,1.170,2508.721,67.989
